company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
china railway construction,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,1.0,,
china reinsurance (group),Asia,Financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china resources,Asia,Health care and pharmaceuticals,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Financial services,,,,,
china southern power grid,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,
china state construction engineering,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,1.0,,,Asia,Engineering and construction,,,1.0,,
china state shipbuilding,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,,,,,,,
china taiping insurance group,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,1.0,,,,,,,,,,,,,,,
china united network communications,Asia,Telecommunications and media,,,,,,Asia,Telecommunications and media,,,,,,Asia,Telecommunications and media,,,,,,Asia,Telecommunications and media,,,,,,Asia,Telecommunications and media,,,,,
china vanke,Asia,Real estate,,,,,,Asia,Real estate,,,,,,Asia,Financial services,,,,,1.0,Asia,Real estate,,,,,,Asia,Real estate,,,,,
christian dior,Europe,Retail,,,,,,Europe,Household and personal products,,,,,,Europe,Retail,,,,,,Europe,Household and personal products,,,,,,Europe,Retail,,1.0,,,
chs,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,
chubb,Europe,Financial services,,,,,,Europe,Financial services,,,1.0,,1.0,Europe,Financial services,,,1.0,,1.0,Europe,Financial services,,,,,,Europe,Financial services,,,,,1.0
chubu electric power,Asia,Energy and utilities,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cigna,North America,Health care and pharmaceuticals,,,1.0,,,North America,Health care and pharmaceuticals,1.0,,1.0,,,North America,Health care and pharmaceuticals,1.0,,1.0,,,North America,Health care and pharmaceuticals,1.0,,1.0,,1.0,North America,Health care and pharmaceuticals,1.0,,1.0,,
cisco systems,North America,Technology,,1.0,,,,North America,Telecommunications and media,,1.0,,1.0,,North America,Technology,,1.0,,1.0,,North America,Telecommunications and media,1.0,1.0,,1.0,,North America,Technology,1.0,1.0,,1.0,
citigroup,Asia,Financial services,,,1.0,,,Asia,Financial services,,,,,,North America,Financial services,1.0,,,1.0,,Asia,Financial services,,,,,,North America,Financial services,,,,1.0,1.0
cj corp.,Asia,Retail,,,,,,Asia,"Food, beverages and agriculture",,,1.0,,1.0,Asia,"Food, beverages and agriculture",,,1.0,,,,,,,,,,,,,,,,
ck hutchison holdings,Asia,Retail,,,,1.0,,Asia,Retail,,,,,,Asia,Retail,,1.0,,1.0,,Asia,Retail,,1.0,,1.0,1.0,Asia,Retail,,,,1.0,
cma cgm,Europe,Transportation and logistics,,,1.0,,,Europe,Transportation and logistics,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
coca-cola,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,"Food, beverages and agriculture",1.0,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,1.0,North America,"Food, beverages and agriculture",,1.0,,1.0,
