company,re100,sbti,cn,nz,cc
china national aviation fuel group,-0000,-0000,-0001,-0000,-----1
lu'an chemical group,-00--,-00--,-00--,-00--,-----
pkn orlen group,-00--,-00--,-01--,-10--,-----
qualcomm,-0000,-0111,-0000,-1110,--1-11
carmax,-00--,-00--,-00--,-11--,-1---
xinjiang zhongtai group,-00--,-00--,-00--,-00--,-----
tata steel,-0---,-0---,-0---,-0---,-----
byd,-0000,-0000,-0000,-0001,-----
inditex,-0000,-1111,-0000,-1110,-----
s.f. holding,-0000,-0001,-0000,-0000,-1--1
td synnex,-0000,-0011,-0000,-1110,----1
world fuel services,-0---,-0---,-1---,-0---,-1---
suncor energy,-0000,-0000,-0000,-1100,----1
shandong hi-speed group,-0000,-0000,-0001,-0000,----1
investor,-0---,-0---,-0---,-1---,-----
chengdu xingcheng investment group,-00--,-00--,-00--,-00--,-----
shanghai delong steel group,-0000,-0000,-0000,-0000,-----
gs caltex,-0000,-0000,-0000,-0001,-----
mercadona,-0-00,-0-00,-0-00,-0-00,-----
cpc,-0000,-0000,-0000,-0010,---11
delta air lines,-0000,-0111,-1000,-1110,---11
american airlines group,-0000,-1111,-0000,-1110,-1-11
paramount global,-00--,-00--,-00--,-00--,-----
us foods holding,-0000,-0111,-0000,-0000,-----
danaher,-00--,-00--,-00--,-00--,-----
randstad,-0---,-0---,-0---,-1---,-----
starbucks,-1111,-1111,-0000,-0010,-----1
rwe,-00--,-11--,-11--,-00--,-----
dsv,-00--,-11--,-00--,-01--,-----
umicore,-0---,-0---,-0---,-1---,-----
uniper,--000,--000,--110,--001,--111
rtx,--000,--000,--000,--110,---1-
ibm,--000,--000,--000,--110,---11
world kinect,--000,--000,--100,--000,--1-1
daimler truck holding,--000,--000,--110,--001,----1
contemporary amperex technology,--000,--000,--010,--001,----1
energi danmark group,--0--,--0--,--1--,--0--,--1--
hd hyundai,--000,--000,--000,--001,----1
pbf energy,--000,--000,--110,--000,-----
united airlines holdings,--000,--011,--000,--110,----1-1
korea gas,--00-,--00-,--10-,--00-,-----
hf sinclair,--0--,--0--,--0--,--0--,-----
nutrien,--0--,--0--,--0--,--0--,-----
ecopetrol,--000,--000,--000,--110,---11
gasterra,--0--,--0--,--0--,--0--,-----
occidental petroleum,--0--,--0--,--0--,--1--,-----
caixa economica federal,--000,--000,--001,--000,----1
guangzhou industrial investment holdings,--000,--000,--000,--000,-----
hapag-lloyd,--0--,--0--,--1--,--0--,-----
naturgy energy group,--0--,--0--,--1--,--0--,--1--
guangdong guangxin holdings,--000,--000,--000,--000,-----
vibra energia,--00-,--00-,--11-,--00-,--11-
shaanxi construction engineering holding,--00-,--00-,--00-,--00-,-----
lufthansa group,--000,--011,--110,--001,--111
magnit,--0-0,--0-1,--0-0,--0-0,-----
warner bros. discovery,--000,--000,--000,--000,----1
lennar,--000,--000,--000,--000,-----
fomento economico mexicano,--000,--000,--000,--000,-----
d.r. horton,--000,--000,--000,--000,-----
cheniere energy,--0--,--0--,--0--,--0--,-----
broadcom,--000,--000,--000,--000,-----
meituan,--000,--000,--000,--000,-----
canadian natural resources,--0--,--0--,--0--,--0--,-----
molina healthcare,--000,--000,--000,--000,-----
tongwei group,--001,--000,--110,--001,--111
uber technologies,--000,--011,--000,--110,----1
luxshare precision industry,--000,--011,--110,--001,--1--
nrg energy,--0--,--1--,--0--,--1--,-----
air liquide,--0--,--1--,--1--,--0--,-----
salesforce,--000,--011,--000,--110,---11
aig,---0-,---0-,---0-,---1-,-----
air france-klm group,---00,---11,---00,---10,----1
america movil,---00,---10,---00,---00,-----
anz group holdings,---11,---00,---00,---10,----1
apollo global management,---0-,---0-,---1-,---0-,---1-
bank of new york mellon,---0-,---0-,---1-,---0-,---1-
brookfield,---00,---00,---00,---10,----1
canadian imperial bank of commerce,---00,---00,---00,---10,---11
cencora,---00,---11,---00,---00,-----
cfe,---00,---00,---00,---00,-----
crédit mutuel group,---00,---00,---00,---10,----1
cummins,---00,---11,---00,---10,-----
dhl group,---00,---11,---00,---10,----1
emirates group,---00,---00,---00,---00,-----
fairfax financial holdings,---00,---00,---00,---00,-----
hangzhou industrial investment group,---00,---00,---00,---00,-----
hdfc bank,---00,---00,---00,---01,-----
heineken,---11,---11,---00,---10,----1
jerónimo martins,---00,---11,---00,---10,----1
landesbank baden-wurttemberg,---00,---00,---00,---10,----1
national australia bank,---11,---00,---00,---10,---11
nestle,---1-,---1-,---0-,---1-,---1-
novo nordisk,---11,---10,---00,---10,----1
nvidia,---00,---01,---00,---00,-----
orlen,---00,---00,---00,---10,-----
paccar,---00,---11,---00,---00,-----
