company,sector,region,re100,sbti,cn,nz,cc
perusahaan listrik negara,Energy and utilities,Asia,----0,----0,----0,----1,----1
petrobras,Oil and gas,Other,00000,00000,00110,01001,00111
petronas,Energy and utilities,Asia,00000,00000,00000,11111,00000
pfizer,Health care and pharmaceuticals,North America,00111,11111,11000,01111,00111
philip morris international,Household and personal products,North America,00000,11111,11000,11111,01111
phillips 66,Oil and gas,North America,00000,00000,00000,00000,00000
phoenix group holdings,Financial services,Europe,00---,00---,10---,11---,01---
phoenix pharma,Health care and pharmaceuticals,Europe,00000,00000,00101,01010,00111
ping an insurance,Financial services,Asia,00000,00000,01111,00000,01110
pkn orlen group,Energy and utilities,Other,-00--,-00--,-01--,-10--,-00--
plains gp holdings,Energy and utilities,North America,-0000,-0000,-0000,-0000,-0000
pnc financial services group,Financial services,North America,----0,----0,----0,----0,----1
posco,Industrial goods,Asia,000--,000--,110--,001--,000--
posco holdings,Metals and mining,Asia,---00,---00,---10,---01,---01
poste italiane,Financial services,Europe,000--,000--,011--,100--,011--
power corp. of canada,Financial services,North America,0000-,0000-,0000-,0010-,0000-
powerchina,Engineering and construction,Asia,00000,00000,00000,00000,00000
procter & gamble,Household and personal products,North America,11110,11111,11000,01111,01111
progressive,Financial services,North America,00000,00000,00001,00110,00110
prudential,Financial services,Europe,1----,0----,0----,0----,0----
prudential financial,Financial services,North America,00000,00000,10000,10111,00-111
ptt,Oil and gas,Asia,00000,00000,00000,01111,00011
publix super markets,Retail,North America,00000,00000,00000,00000,0-1000
