year,company ,region,sector ,re100,sbti,cn,nz,cc,,,
2021,Mitsubishi Chemical Holdings,Asia,Chemicals,,,,,,,,
2021,Mitsubishi Electric,Asia,Technology,,1,,1,,,,
2021,Mitsubishi Heavy Industries,Asia,Industrial goods,,,,,,,,
2021,Mitsubishi UFJ Financial Group,Asia,Financial services,,,1,1,,,,
2021,Mitsui,Asia,Industrial goods,,,1,1,,,,
2021,Mizuho Financial Group,Asia,"Food, beverages and agriculture",,,1,,,,,
2021,Mondelez International,North America,Financial services,,1,,,,,,
2021,Morgan Stanley,North America,Financial services,1,,1,1,,,,
2021,MS&AD Insurance Group Holdings,Asia,Financial services,,,,1,,,,
2021,Munich Re Group,Europe,Financial services,,,1,1,,,,
2021,Nationwide,North America,Technology,,,,,,,,
2021,NEC,Asia,"Food, beverages and agriculture",1,1,1,,,,,
2021,Nestlé,Europe,Telecommunications and media,1,1,,1,,,,
2021,Netflix,North America,Financial services,,1,,1,,,,
2021,New China Life Insurance,Asia,"Food, beverages and agriculture",,,,,,,,
2021,New Hope Holding Group,Asia,Financial services,,,,,,,,
2021,New York Life Insurance,North America,Retail,,,,,,,,
2021,Nike,North America,Financial services,1,1,,,,,,
2021,Nippon Life Insurance,Asia,Industrial goods,,,1,,,,,
2021,Nippon Steel Corporation,Asia,Telecommunications and media,,,1,,,,,
2021,Nippon Telegraph and Telephone,Asia,Automotive,,,,,,,,
2021,Nissan Motor,Asia,Technology,,1,1,,,,,
2021,Nokia,Europe,Aerospace and defense,,1,,,,,,
2021,Northrop Grumman,North America,Financial services,,,,,,,,
2021,Northwestern Mutual,North America,Health care and pharmaceuticals,,,,,,,,
2021,Novartis,Europe,Oil and gas,1,1,1,1,,,,
2021,Oil & Natural Gas,Asia,"Food, beverages and agriculture",,,,,,,,
2021,Olam International,Asia,Technology,,1,,,,,,
2021,Oracle,North America,Telecommunications and media,,,,,,,,
2021,Orange,Europe,Engineering and construction,,1,,1,,,,
2021,Pacific Construction Group,Asia,Technology,,,,,,,,
2021,Panasonic,Asia,Technology,1,1,,1,,,,
2021,Pegatron,Asia,Oil and gas,,,,,,,,
2021,Pemex,North America,Financial services,,,,,,,,
2021,People's Insurance Co. of China,Asia,"Food, beverages and agriculture",,,,,,,,
2021,PepsiCo,North America,"Food, beverages and agriculture",1,1,,1,,,,
2021,Performance Food Group,North America,Oil and gas,,,,,,,,
2021,Pertamina,Asia,Oil and gas,,,,,,,,
2021,Petrobras,Other,Energy and utilities,,,,,,,,
2021,Petronas,Asia,Health care and pharmaceuticals,,,,1,,,,
2021,Pfizer,North America,"Food, beverages and agriculture",,1,1,,,,,
2021,Philip Morris International,North America,Oil and gas,,1,1,1,,,,
2021,Phillips 66,North America,Financial services,,,,,,,,
2021,Phoenix Group Holdings,Europe,Health care and pharmaceuticals,,,1,1,,,,
2021,Phoenix Pharma,Europe,Financial services,,,,,,,,
2021,Ping An Insurance,Asia,Industrial goods,,,,,,,,
2021,POSCO,Asia,Financial services,,,1,,,,,
2021,Poste Italiane,Europe,Financial services,,,,1,,,,
2021,Power Corp. of Canada,North America,Engineering and construction,,,,,,,,
2021,PowerChina,Asia,Household and personal products,,,,,,,,
2021,Procter & Gamble,North America,Financial services,1,1,1,,,,,
2021,Progressive,North America,Financial services,,,,,,,,
2021,Prudential,Europe,Financial services,1,,,,,,,
2021,Prudential Financial,North America,Chemicals,,,1,1,,,,
2021,PTT,Asia,"Food, beverages and agriculture",,,,,,,,
2021,Publix Super Markets,North America,Technology,,,,,,,,
2021,Quanta Computer,Asia,Financial services,,,,,,,,
2021,Rajesh Exports,Asia,Aerospace and defense,,,,,,,,
2021,Raytheon Technologies,North America,Oil and gas,,,,,,,,
2021,Reliance Industries,Asia,Automotive,,,,1,,,,
2021,Renault,Europe,Oil and gas,,1,1,,,,,
2021,Repsol,Europe,Industrial goods,,,,1,,,,
2021,Rio Tinto Group,Europe,"Food, beverages and agriculture",,,,1,,,,
