company,sector,nz_2024,nz_2025,gained_nz,lost_nz
Sompo Holdings,Financial services,1.0,1.0,False,False
Sony,Industrial goods,1.0,,False,False
Sony,Technology,,1.0,False,False
Standard Chartered,Financial services,1.0,1.0,False,False
Starbucks,"Food, beverages and agriculture",1.0,1.0,False,False
State Bank of India,Financial services,1.0,0.0,False,True
State Farm Insurance,Financial services,0.0,0.0,False,False
State Grid,Energy and utilities,0.0,0.0,False,False
State Power Investment,Energy and utilities,0.0,0.0,False,False
Stellantis,Automotive,1.0,1.0,False,False
StoneX Group,Financial services,0.0,1.0,True,False
Sumitomo,Financial services,0.0,0.0,False,False
Sumitomo Mitsui Financial Group,Financial services,1.0,1.0,False,False
Suncor Energy,Oil and gas,0.0,1.0,True,False
Susun Construction Group,Engineering and construction,0.0,0.0,False,False
Suzuki Motor,Automotive,0.0,0.0,False,False
Swiss Re,Financial services,1.0,1.0,False,False
Sysco,"Food, beverages and agriculture",,0.0,False,False
Sysco,Retail,0.0,,False,False
TD Synnex,Industrial goods,,1.0,False,False
TD Synnex,Retail,1.0,,False,False
TIAA,Financial services,1.0,1.0,False,False
TJX,Retail,1.0,1.0,False,False
Taikang Insurance Group,Financial services,0.0,0.0,False,False
Taiwan Semiconductor Manufacturing,Industrial goods,1.0,,False,False
Taiwan Semiconductor Manufacturing,Technology,,1.0,False,False
Talanx,Financial services,1.0,1.0,False,False
Target,Retail,1.0,1.0,False,False
Tata Motors,Automotive,0.0,1.0,True,False
Telefonica,Telecommunications and media,1.0,1.0,False,False
Tencent Holdings,Retail,,1.0,False,False
Tencent Holdings,Technology,0.0,,False,False
Tesco,Retail,1.0,1.0,False,False
Tesla,Automotive,0.0,0.0,False,False
Thermo Fisher Scientific,Health care and pharmaceuticals,,1.0,False,False
Thermo Fisher Scientific,Industrial goods,1.0,,False,False
ThyssenKrupp,Metals and mining,0.0,1.0,True,False
Tokio Marine Holdings,Financial services,1.0,1.0,False,False
Tokyo Electric Power,Energy and utilities,1.0,0.0,False,True
TongLing Nonferrous Metals Group,Metals and mining,0.0,0.0,False,False
Tongwei Group,Energy and utilities,0.0,0.0,False,False
Toronto-Dominion Bank,Financial services,1.0,1.0,False,False
TotalEnergies,Oil and gas,0.0,1.0,True,False
Toyota Motor,Automotive,0.0,0.0,False,False
Toyota Tsusho,Financial services,1.0,1.0,False,False
Trafigura Group,Financial services,0.0,0.0,False,False
Travelers,Financial services,0.0,0.0,False,False
